dataset,min_contact_px,iou_threshold,boards,loc_precision,loc_recall,loc_f1,cls_precision,cls_recall,cls_f1,macro_f1,class_accuracy,mean_iou_matched,mean_runtime_s,max_runtime_s,within_3s_pct,failures
hripcb,6,0.5,30,0.6929,0.6769,0.6848,0.378,0.3692,0.3735,0.3765,0.5455,0.7141,0.4859,0.6228,100.0,0
hripcb,25,0.5,30,0.6929,0.6769,0.6848,0.4173,0.4077,0.4125,0.4148,0.6023,0.7141,0.4811,0.6158,100.0,0
hripcb,50,0.5,30,0.6929,0.6769,0.6848,0.4409,0.4308,0.4358,0.4394,0.6364,0.7141,0.4847,0.6451,100.0,0
hripcb,100,0.5,30,0.6929,0.6769,0.6848,0.378,0.3692,0.3735,0.3559,0.5455,0.7141,0.493,0.6459,100.0,0
hripcb,150,0.5,30,0.6929,0.6769,0.6848,0.3701,0.3615,0.3658,0.3335,0.5341,0.7141,0.4993,0.6372,100.0,0
hripcb,250,0.5,30,0.6929,0.6769,0.6848,0.3386,0.3308,0.3346,0.317,0.4886,0.7141,0.5529,0.724,100.0,0
hripcb,400,0.5,30,0.6929,0.6769,0.6848,0.2205,0.2154,0.2179,0.1721,0.3182,0.7141,0.6935,1.3112,100.0,0
