dataset,ring_width_px,iou_threshold,boards,loc_precision,loc_recall,loc_f1,cls_precision,cls_recall,cls_f1,macro_f1,class_accuracy,mean_iou_matched,mean_runtime_s,max_runtime_s,within_3s_pct,failures
deeppcb,2,0.5,80,0.8891,0.8353,0.8614,0.8551,0.8034,0.8284,0.8274,0.9618,0.8108,0.0404,0.139,100.0,0
deeppcb,3,0.5,80,0.8891,0.8353,0.8614,0.8748,0.8218,0.8475,0.8448,0.9839,0.8108,0.0341,0.071,100.0,0
deeppcb,4,0.5,80,0.8891,0.8353,0.8614,0.8766,0.8235,0.8492,0.847,0.9859,0.8108,0.0476,0.1372,100.0,0
deeppcb,6,0.5,80,0.8891,0.8353,0.8614,0.8712,0.8185,0.844,0.8417,0.9799,0.8108,0.0598,0.1154,100.0,0
deeppcb,8,0.5,80,0.8891,0.8353,0.8614,0.8569,0.805,0.8302,0.8268,0.9638,0.8108,0.034,0.0685,100.0,0
deeppcb,10,0.5,80,0.8891,0.8353,0.8614,0.8318,0.7815,0.8059,0.8005,0.9356,0.8108,0.0348,0.0719,100.0,0
deeppcb,12,0.5,80,0.8891,0.8353,0.8614,0.8175,0.7681,0.792,0.7849,0.9195,0.8108,0.035,0.0828,100.0,0
deeppcb,16,0.5,80,0.8891,0.8353,0.8614,0.78,0.7328,0.7556,0.7438,0.8773,0.8108,0.0362,0.0725,100.0,0
deeppcb,20,0.5,80,0.8891,0.8353,0.8614,0.7585,0.7126,0.7348,0.7193,0.8531,0.8108,0.0387,0.0735,100.0,0
