dataset,ring_width_px,iou_threshold,boards,loc_precision,loc_recall,loc_f1,cls_precision,cls_recall,cls_f1,macro_f1,class_accuracy,mean_iou_matched,mean_runtime_s,max_runtime_s,within_3s_pct,failures
hripcb,2,0.5,30,0.6929,0.6769,0.6848,0.3937,0.3846,0.3891,0.3895,0.5682,0.7141,1.0327,1.6103,100.0,0
hripcb,3,0.5,30,0.6929,0.6769,0.6848,0.3858,0.3769,0.3813,0.3862,0.5568,0.7141,0.6472,1.5025,100.0,0
hripcb,4,0.5,30,0.6929,0.6769,0.6848,0.378,0.3692,0.3735,0.3765,0.5455,0.7141,0.5029,0.6569,100.0,0
hripcb,6,0.5,30,0.6929,0.6769,0.6848,0.3465,0.3385,0.3424,0.3422,0.5,0.7141,0.5151,0.6743,100.0,0
hripcb,8,0.5,30,0.6929,0.6769,0.6848,0.3307,0.3231,0.3268,0.3226,0.4773,0.7141,0.5207,0.6781,100.0,0
