dataset,classifier,iou_threshold,boards,loc_precision,loc_recall,loc_f1,cls_precision,cls_recall,cls_f1,macro_f1,class_accuracy,mean_iou_matched,mean_runtime_s,max_runtime_s,within_3s_pct,failures,wall_clock_s
deeppcb,descriptor,0.33,80,0.9035,0.7668,0.8295,0.4084,0.3466,0.375,0.3285,0.4521,0.8285,0.0538,0.1602,100.0,0,4.4
deeppcb,descriptor,0.5,80,0.8911,0.7563,0.8182,0.4084,0.3466,0.375,0.3285,0.4583,0.8342,0.0742,0.1614,100.0,0,6.1
deeppcb,connectivity,0.33,80,0.9035,0.7668,0.8295,0.8515,0.7227,0.7818,0.7836,0.9425,0.8285,0.0637,0.1357,100.0,0,5.2
deeppcb,connectivity,0.5,80,0.8911,0.7563,0.8182,0.8416,0.7143,0.7727,0.7761,0.9444,0.8342,0.0907,0.1647,100.0,0,7.4
